FeatureNum, NBAUCFCD, NBMCCFCD, NBAUCFCD, NBAUCFCQ, NBMCCFCQ, NBAUCFCQ, LRAUCFCD, LRMCCFCD, LRAUCFCD, LRAUCFCQ, LRMCCFCQ, LRAUCFCQ, RFAUCFCD, RFMCCFCD, RFAUCFCD, RFAUCFCQ, RFMCCFCQ, RFAUCFCQ
20, 0.53156, 0.06461, 0.53623, 0.58838, 0.18370, 0.59420, 0.57954, 0.15895, 0.57971, 0.57323, 0.15361, 0.57971, 0.54040, 0.08220, 0.53623, 0.68055, 0.36111, 0.68115
40, 0.63510, 0.27227, 0.63768, 0.60606, 0.21374, 0.60869, 0.59217, 0.18512, 0.59420, 0.60606, 0.21374, 0.60869, 0.66792, 0.33585, 0.66666, 0.59343, 0.18686, 0.59420
60, 0.65277, 0.30529, 0.65217, 0.64898, 0.30155, 0.65217, 0.65151, 0.30303, 0.65217, 0.57702, 0.15522, 0.57971, 0.66792, 0.33585, 0.66666, 0.60984, 0.21969, 0.60869
80, 0.69696, 0.39393, 0.69565, 0.59090, 0.18399, 0.59420, 0.69570, 0.39108, 0.69565, 0.57702, 0.15522, 0.57971, 0.67045, 0.34499, 0.66666, 0.68055, 0.36111, 0.68115
100, 0.68308, 0.36677, 0.68115, 0.63762, 0.27502, 0.63768, 0.70959, 0.41919, 0.71014, 0.57575, 0.15413, 0.57971, 0.66919, 0.33981, 0.66666, 0.65277, 0.30529, 0.65217
120, 0.65404, 0.30860, 0.65217, 0.60732, 0.21500, 0.60869, 0.72474, 0.44911, 0.72463, 0.66540, 0.33136, 0.66666, 0.68308, 0.36677, 0.68115, 0.63762, 0.27502, 0.63768
140, 0.65277, 0.30529, 0.65217, 0.65025, 0.30177, 0.65217, 0.69570, 0.39108, 0.69565, 0.66666, 0.33305, 0.66666, 0.71085, 0.42136, 0.71014, 0.66666, 0.33305, 0.66666
160, 0.65277, 0.30529, 0.65217, 0.70833, 0.41843, 0.71014, 0.67929, 0.36010, 0.68115, 0.66666, 0.33305, 0.66666, 0.69570, 0.39108, 0.69565, 0.66792, 0.33585, 0.66666
180, 0.63762, 0.27502, 0.63768, 0.65151, 0.30303, 0.65217, 0.69444, 0.38954, 0.69565, 0.66666, 0.33305, 0.66666, 0.74116, 0.48313, 0.73913, 0.68181, 0.36333, 0.68115
200, 0.66792, 0.33585, 0.66666, 0.62247, 0.24494, 0.62318, 0.67929, 0.36010, 0.68115, 0.63762, 0.27502, 0.63768, 0.70959, 0.41919, 0.71014, 0.72474, 0.44911, 0.72463
220, 0.65277, 0.30529, 0.65217, 0.65151, 0.30303, 0.65217, 0.66414, 0.33079, 0.66666, 0.63636, 0.27318, 0.63768, 0.67929, 0.36010, 0.68115, 0.69444, 0.38954, 0.69565
240, 0.62247, 0.24494, 0.62318, 0.65151, 0.30303, 0.65217, 0.66414, 0.33079, 0.66666, 0.62247, 0.24494, 0.62318, 0.67929, 0.36010, 0.68115, 0.69570, 0.39108, 0.69565
260, 0.63762, 0.27502, 0.63768, 0.63636, 0.27318, 0.63768, 0.63510, 0.27227, 0.63768, 0.60732, 0.21500, 0.60869, 0.67803, 0.36033, 0.68115, 0.71085, 0.42136, 0.71014
280, 0.62247, 0.24494, 0.62318, 0.60732, 0.21500, 0.60869, 0.61994, 0.24277, 0.62318, 0.62121, 0.24345, 0.62318, 0.66414, 0.33079, 0.66666, 0.69444, 0.38954, 0.69565
300, 0.66792, 0.33585, 0.66666, 0.62121, 0.24345, 0.62318, 0.61994, 0.24277, 0.62318, 0.62121, 0.24345, 0.62318, 0.67929, 0.36010, 0.68115, 0.69570, 0.39108, 0.69565
320, 0.66792, 0.33585, 0.66666, 0.63636, 0.27318, 0.63768, 0.61994, 0.24277, 0.62318, 0.62121, 0.24345, 0.62318, 0.66414, 0.33079, 0.66666, 0.70959, 0.41919, 0.71014
340, 0.66792, 0.33585, 0.66666, 0.63636, 0.27318, 0.63768, 0.63510, 0.27227, 0.63768, 0.62121, 0.24345, 0.62318, 0.69444, 0.38954, 0.69565, 0.70833, 0.41843, 0.71014
360, 0.63762, 0.27502, 0.63768, 0.63636, 0.27318, 0.63768, 0.60606, 0.21374, 0.60869, 0.63510, 0.27227, 0.63768, 0.69444, 0.38954, 0.69565, 0.70959, 0.41919, 0.71014
380, 0.57702, 0.15522, 0.57971, 0.63636, 0.27318, 0.63768, 0.60606, 0.21374, 0.60869, 0.63510, 0.27227, 0.63768, 0.67929, 0.36010, 0.68115, 0.67929, 0.36010, 0.68115
400, 0.59217, 0.18512, 0.59420, 0.63636, 0.27318, 0.63768, 0.60606, 0.21374, 0.60869, 0.63510, 0.27227, 0.63768, 0.68055, 0.36111, 0.68115, 0.69444, 0.38954, 0.69565
