FeatureNum, MRMRNBAUCFCD, MRMRNBAUCFCQ, MRMRLRAUCFCD, MRMRLRAUCFCQ, MRMRRFAUCFCD, MRMRRFAUCFCQ, RFNBAUC, RFNBAUC, RFRFAUC
10, 0.53156, 0.58838, 0.57954, 0.57323, 0.54040, 0.68055, 0.50126, 0.50126, 0.49873
20, 0.63510, 0.60606, 0.59217, 0.60606, 0.66792, 0.59343, 0.53282, 0.53282, 0.56439
30, 0.65277, 0.64898, 0.65151, 0.57702, 0.66792, 0.60984, 0.60606, 0.60606, 0.59217
40, 0.69696, 0.59090, 0.69570, 0.57702, 0.67045, 0.68055, 0.63510, 0.63510, 0.61994
50, 0.68308, 0.63762, 0.70959, 0.57575, 0.66919, 0.65277, 0.60479, 0.60479, 0.58964
60, 0.65404, 0.60732, 0.72474, 0.66540, 0.68308, 0.63762, 0.58964, 0.58964, 0.58838
70, 0.65277, 0.65025, 0.69570, 0.66666, 0.71085, 0.66666, 0.60479, 0.60479, 0.61742
80, 0.65277, 0.70833, 0.67929, 0.66666, 0.69570, 0.66792, 0.60479, 0.60479, 0.58838
90, 0.63762, 0.65151, 0.69444, 0.66666, 0.74116, 0.68181, 0.60479, 0.60479, 0.55934
100, 0.66792, 0.62247, 0.67929, 0.63762, 0.70959, 0.72474, 0.63510, 0.63510, 0.57449
110, 0.65277, 0.65151, 0.66414, 0.63636, 0.67929, 0.69444, 0.61994, 0.61994, 0.60353
120, 0.62247, 0.65151, 0.66414, 0.62247, 0.67929, 0.69570, 0.60479, 0.60479, 0.60353
130, 0.63762, 0.63636, 0.63510, 0.60732, 0.67803, 0.71085, 0.63636, 0.63636, 0.58964
140, 0.62247, 0.60732, 0.61994, 0.62121, 0.66414, 0.69444, 0.63762, 0.63762, 0.60353
150, 0.66792, 0.62121, 0.61994, 0.62121, 0.67929, 0.69570, 0.63762, 0.63762, 0.61868
160, 0.66792, 0.63636, 0.61994, 0.62121, 0.66414, 0.70959, 0.63762, 0.63762, 0.66414
170, 0.66792, 0.63636, 0.63510, 0.62121, 0.69444, 0.70833, 0.63762, 0.63762, 0.66414
180, 0.63762, 0.63636, 0.60606, 0.63510, 0.69444, 0.70959, 0.63762, 0.63762, 0.67803
190, 0.57702, 0.63636, 0.60606, 0.63510, 0.67929, 0.67929, 0.62247, 0.62247, 0.67803
200, 0.59217, 0.63636, 0.60606, 0.63510, 0.68055, 0.69444, 0.63762, 0.63762, 0.64772
