FeatureNum, MRMRNBMCCFCD, MRMRNBMCCFCQ, MRMRLRMCCFCD, MRMRLRMCCFCQ, MRMRRFMCCFCD, MRMRRFMCCFCQ, RFNBMCC, RFNBMCC, RFRFMCC
10, 0.06461, 0.18370, 0.15895, 0.15361, 0.08220, 0.36111, 0.00262, 0.00262, -0.0026
20, 0.27227, 0.21374, 0.18512, 0.21374, 0.33585, 0.18686, 0.06644, 0.06644, 0.12878
30, 0.30529, 0.30155, 0.30303, 0.15522, 0.33585, 0.21969, 0.21374, 0.21374, 0.18512
40, 0.39393, 0.18399, 0.39108, 0.15522, 0.34499, 0.36111, 0.27227, 0.27227, 0.24277
50, 0.36677, 0.27502, 0.41919, 0.15413, 0.33981, 0.30529, 0.21321, 0.21321, 0.18351
60, 0.30860, 0.21500, 0.44911, 0.33136, 0.36677, 0.27502, 0.18351, 0.18351, 0.18370
70, 0.30529, 0.30177, 0.39108, 0.33305, 0.42136, 0.33305, 0.21321, 0.21321, 0.24406
80, 0.30529, 0.41843, 0.36010, 0.33305, 0.39108, 0.33585, 0.21321, 0.21321, 0.18370
90, 0.27502, 0.30303, 0.38954, 0.33305, 0.48313, 0.36333, 0.21321, 0.21321, 0.12334
100, 0.33585, 0.24494, 0.36010, 0.27502, 0.41919, 0.44911, 0.27227, 0.27227, 0.15358
110, 0.30529, 0.30303, 0.33079, 0.27318, 0.36010, 0.38954, 0.24277, 0.24277, 0.21345
120, 0.24494, 0.30303, 0.33079, 0.24494, 0.36010, 0.39108, 0.21321, 0.21321, 0.21345
130, 0.27502, 0.27318, 0.27227, 0.21500, 0.36033, 0.42136, 0.27318, 0.27318, 0.18351
140, 0.24494, 0.21500, 0.24277, 0.24345, 0.33079, 0.38954, 0.27502, 0.27502, 0.21345
150, 0.33585, 0.24345, 0.24277, 0.24345, 0.36010, 0.39108, 0.27502, 0.27502, 0.24295
160, 0.33585, 0.27318, 0.24277, 0.24345, 0.33079, 0.41919, 0.27502, 0.27502, 0.33079
170, 0.33585, 0.27318, 0.27227, 0.24345, 0.38954, 0.41843, 0.27502, 0.27502, 0.33079
180, 0.27502, 0.27318, 0.21374, 0.27227, 0.38954, 0.41919, 0.27502, 0.27502, 0.36033
190, 0.15522, 0.27318, 0.21374, 0.27227, 0.36010, 0.36010, 0.24494, 0.24494, 0.36033
200, 0.18512, 0.27318, 0.21374, 0.27227, 0.36111, 0.38954, 0.27502, 0.27502, 0.30240
